Nachname,Vorname,Anrede,Geschlecht,ID
Riexinger,Bernd,Bernd Riexinger,M,857886
Rimkus,Andreas,Andreas Rimkus,M,857900
Rinck,Frank,Frank Rinck,M,861108
Rix,Sönke,Sönke Rix,M,857882
Rößner,Tabea,Tabea Rößner,F,857920
Röttgen,Dr. Norbert,Dr. Norbert Röttgen,M,857928
Röwekamp,Thomas,Thomas Röwekamp,M,860556
Rohde,Dennis,Dennis Rohde,M,857890
Rohwer,Lars,Lars Rohwer,M,861562
Roloff,Sebastian,Sebastian Roloff,M,860266
Rosemann,Dr. Martin,Dr. Martin Rosemann,M,857926
Rosenthal,Jessica,Jessica Rosenthal,F,860982
Roth,Claudia,Claudia Roth,F,857916
Roth,Michael,Michael Roth,M,857922
Rottmann,Dr. Manuela,Dr. Manuela Rottmann,F,857878
Rouenhoff,Stefan,Stefan Rouenhoff,M,857892
Rudolph,Dr. Thorsten,Dr. Thorsten Rudolph,M,861184
Rudolph,Tina,Tina Rudolph,F,861438
Rüddel,Erwin,Erwin Rüddel,M,857930
Rüffer,Corinna,Corinna Rüffer,F,857888
Rützel,Bernd,Bernd Rützel,M,857910
Rupprecht,Albert,Albert Rupprecht,M,857884
Ryglewski,Sarah,Sarah Ryglewski,F,857904
Saathoff,Johann,Johann Saathoff,M,857972
Saleh,Kassem Taher,Kassem Taher Saleh,M,861262
Santos Firnhaber,Catarina dos,Catarina dos Santos Firnhaber,F,860952
Sattelberger,Dr. h. c. Thomas,Dr. h. c. Thomas Sattelberger,M,863128
Sauter,Christian,Christian Sauter,M,857932
Schäfer,Axel,Axel Schäfer,M,857946
Schäfer,Ingo,Ingo Schäfer,M,861050
Schäfer,Jamila,Jamila Schäfer,F,860330
Schäfer,Dr. Sebastian,Dr. Sebastian Schäfer,M,860174
Schäffler,Frank,Frank Schäffler,M,857952
Schätzl,Johannes,Johannes Schätzl,M,860286
Schäuble,Dr. Wolfgang,Dr. Wolfgang Schäuble,M,857936
Schamber,Rebecca,Rebecca Schamber,F,860884
Schattner,Bernd,Bernd Schattner,M,861158
Schauws,Ulle,Ulle Schauws,F,857942
Scheer,Dr. Nina,Dr. Nina Scheer,F,857962
Schenderlein,Dr. Christiane,Dr. Christiane Schenderlein,F,861272
Scheuer,Andreas,Andreas Scheuer,M,857964
Schieder,Marianne,Marianne Schieder,F,857968
Schiefner,Udo,Udo Schiefner,M,857940
Schielke-Ziesing,Ulrike,Ulrike Schielke-Ziesing,F,857954
Schierenbeck,Peggy,Peggy Schierenbeck,F,860880
Schimke,Jana,Jana Schimke,F,857976
Schisanowski,Timo,Timo Schisanowski,M,861110
Schmid,Christoph,Christoph Schmid,M,860280
Schmid,Dr. Nils,Dr. Nils Schmid,M,857958
Schmidt,Dagmar,Dagmar Schmidt,F,857966
Schmidt,Eugen,Eugen Schmidt,M,861178
Schmidt,Jan Wenzel,Jan Wenzel Schmidt,M,861180
Schmidt,Stefan,Stefan Schmidt,M,857950
Schmidt,Uwe,Uwe Schmidt,M,857938
Schneider,Carsten,Carsten Schneider,M,857990
Schneider,Daniel,Daniel Schneider,M,860886
Schneider,Jörg,Jörg Schneider,M,858002
Schnieder,Patrick,Patrick Schnieder,M,857992
Schön,Nadine,Nadine Schön,F,858006
Schönberger,Marlene,Marlene Schönberger,F,860342
Scholz,Olaf,Olaf Scholz,M,860468
Schraps,Johannes,Johannes Schraps,M,857996
Schreider,Christian,Christian Schreider,M,861204
Schreiner,Felix,Felix Schreiner,M,857978
Schrodi,Michael,Michael Schrodi,M,857998
Schröder,Christina-Johanne,Christina-Johanne Schröder,F,860816
Schröder,Ria,Ria Schröder,F,861210
Schulz,Anja,Anja Schulz,F,861214
Schulz,Uwe,Uwe Schulz,M,857986
Schulz-Asche,Kordula,Kordula Schulz-Asche,F,858004
Schulze,Svenja,Svenja Schulze,F,860968
Schwabe,Frank,Frank Schwabe,M,857980
Schwartze,Stefan,Stefan Schwartze,M,857984
Schwarz,Andreas,Andreas Schwarz,M,857988
Schwarz,Armin,Armin Schwarz,M,860632
Schwarzelühr-Sutter,Rita,Rita Schwarzelühr-Sutter,F,857994
Seestern-Pauly,Matthias,Matthias Seestern-Pauly,M,858010
Seidler,Stefan,Stefan Seidler,M,863288
Seif,Detlef,Detlef Seif,M,858062
Seiter,Prof. Dr. Stephan,Prof. Dr. Stephan Seiter,M,861238
Seitz,Thomas,Thomas Seitz,M,858072
Seitzl,Dr. Lina,Dr. Lina Seitzl,F,860184
Sekmen,Melis,Melis Sekmen,F,860156
Semet,Rainer,Rainer Semet,M,861240
Sichert,Martin,Martin Sichert,M,858038
Silberhorn,Thomas,Thomas Silberhorn,M,858036
Simon,Björn,Björn Simon,M,858050
Sitte,Dr. Petra,Dr. Petra Sitte,F,858018
Skudelny,Judith,Judith Skudelny,F,858020
Slawik,Nyke,Nyke Slawik,F,860910
Sorge,Tino,Tino Sorge,M,858066
Spahn,Jens,Jens Spahn,M,858012
Spallek,Dr. Anne Monika,Dr. Anne Monika Spallek,F,860938
Spaniel,Dr. Dirk,Dr. Dirk Spaniel,M,858024
Spellerberg,Merle,Merle Spellerberg,F,861260
Springer,René,René Springer,M,858058
Stadler,Svenja,Svenja Stadler,F,858016
Staffler,Katrin,Katrin Staffler,F,858030
Stahr,Nina,Nina Stahr,F,860498
Stamm-Fibich,Martina,Martina Stamm-Fibich,F,858054
Stark-Watzinger,Bettina,Bettina Stark-Watzinger,F,858076
Steffen,Dr. Till,Dr. Till Steffen,M,860702
Stefinger,Dr. Wolfgang,Dr. Wolfgang Stefinger,M,858064
Stegemann,Albert,Albert Stegemann,M,858074
Stegner,Dr. Ralf,Dr. Ralf Stegner,M,861352
Stein,Mathias,Mathias Stein,M,858042
Steiniger,Johannes,Johannes Steiniger,M,858032
Steinmüller,Hanna,Hanna Steinmüller,F,860510
Stetten,Christian Freiherr von,Christian Freiherr von Stetten,M,858026
Sthamer,Nadja,Nadja Sthamer,F,861288
Stier,Dieter,Dieter Stier,M,858052
Stockmeier,Konrad,Konrad Stockmeier,M,861292
Stöber,Klaus,Klaus Stöber,M,863310
Stöcker,Diana,Diana Stöcker,F,861664
Storch,Beatrix von,Beatrix von Storch,F,858070
Storjohann,Gero,Gero Storjohann,M,858014
Strack-Zimmermann,Dr. Marie-Agnes,Dr. Marie-Agnes Strack-Zimmermann,F,858040
Stracke,Stephan,Stephan Stracke,M,858034
Strasser,Benjamin,Benjamin Strasser,M,858068
Straubinger,Max,Max Straubinger,M,858078
Strengmann-Kuhn,Dr. Wolfgang,Dr. Wolfgang Strengmann-Kuhn,M,858022
Stüwe,Ruppert,Ruppert Stüwe,M,860420
Stumpp,Christina,Christina Stumpp,F,861926
Tatti,Jessica,Jessica Tatti,F,858092
Tausend,Claudia,Claudia Tausend,F,858110
Tebroke,Dr. Hermann-Josef,Dr. Hermann-Josef Tebroke,M,858098
Tesfaiesus,Awet,Awet Tesfaiesus,F,860740
Teuteberg,Linda,Linda Teuteberg,F,858100
Teutrine,Jens,Jens Teutrine,M,861326
Theurer,Michael,Michael Theurer,M,858104
Thews,Michael,Michael Thews,M,858084
Thies,Hans-Jürgen,Hans-Jürgen Thies,M,858094
Thomae,Stephan,Stephan Thomae,M,858080
Throm,Alexander,Alexander Throm,M,858106
Tillmann,Antje,Antje Tillmann,F,858090
Timmermann-Fechter,Astrid,Astrid Timmermann-Fechter,F,860944
Tippelt,Nico,Nico Tippelt,M,861350
Todtenhausen,Manfred,Manfred Todtenhausen,M,858086
Töns,Markus,Markus Töns,M,858096
Toncar,Dr. Florian,Dr. Florian Toncar,M,858102
Träger,Carsten,Carsten Träger,M,858082
Trittin,Jürgen,Jürgen Trittin,M,858108
Troff-Schaffarzyk,Anja,Anja Troff-Schaffarzyk,F,860870
Türk-Nachbaur,Derya,Derya Türk-Nachbaur,F,860206
Uhl,Markus,Markus Uhl,M,858112
Uhlig,Katrin,Katrin Uhlig,F,860926
Ullmann,Prof. Dr. Andrew,Prof. Dr. Andrew Ullmann,M,858114
Ullrich,Frank,Frank Ullrich,M,861430
Ullrich,Gerald,Gerald Ullrich,M,858118
Ullrich,Dr. Volker,Dr. Volker Ullrich,M,858120
Ulrich,Alexander,Alexander Ulrich,M,858116
Verlinden,Dr. Julia,Dr. Julia Verlinden,F,858122
Vieregge,Kerstin,Kerstin Vieregge,F,858126
Völlers,Marja-Liisa,Marja-Liisa Völlers,F,858132
Vöpel,Dirk,Dirk Vöpel,M,858128
Vogel,Johannes,Johannes Vogel,M,858134
Vogler,Kathrin,Kathrin Vogler,F,858124
Vogt,Dr. Oliver,Dr. Oliver Vogt,M,860962
Vries,Christoph de,Christoph de Vries,M,858136
Wadephul,Dr. Johann David,Dr. Johann David Wadephul,M,858166
Wagener,Niklas,Niklas Wagener,M,860340
Wagener,Robin,Robin Wagener,M,860908
Wagenknecht,Dr. Sahra,Dr. Sahra Wagenknecht,F,858202
Wagner,Dr. Carolin,Dr. Carolin Wagner,F,860296
Wagner,Johannes,Johannes Wagner,M,860346
Wallstein,Maja,Maja Wallstein,F,860470
Walter,Hannes,Hannes Walter,M,860478
Walter-Rosenheimer,Beate,Beate Walter-Rosenheimer,F,858152
Wanderwitz,Marco,Marco Wanderwitz,M,858160
Warken,Nina,Nina Warken,F,858188
Weeser,Sandra,Sandra Weeser,F,858156
Wegge,Carmen,Carmen Wegge,F,860290
Wegling,Melanie,Melanie Wegling,F,860676
Weidel,Dr. Alice,Dr. Alice Weidel,F,858184
Weingarten,Dr. Joe,Dr. Joe Weingarten,M,858196
Weisgerber,Dr. Anja,Dr. Anja Weisgerber,F,858178
Weishaupt,Saskia,Saskia Weishaupt,F,860332
Weiss,Maria-Lena,Maria-Lena Weiss,F,861824
Weiss,Sabine,Sabine Weiss,F,858150
Wenzel,Stefan,Stefan Wenzel,M,860834
Werner,Lena,Lena Werner,F,861196
Westig,Nicole,Nicole Westig,F,858198
Westphal,Bernd,Bernd Westphal,M,858148
Weyel,Prof. Dr. Harald,Prof. Dr. Harald Weyel,M,858182
Whittaker,Kai,Kai Whittaker,M,858194
Widmann-Mauz,Annette,Annette Widmann-Mauz,F,858200
Wiehle,Wolfgang,Wolfgang Wiehle,M,858168
Wiener,Dr. Klaus,Dr. Klaus Wiener,M,861052
Wiese,Dirk,Dirk Wiese,M,858180
Willsch,Klaus-Peter,Klaus-Peter Willsch,M,858176
Winkelmeier-Becker,Elisabeth,Elisabeth Winkelmeier-Becker,F,858192
Winkler,Tobias,Tobias Winkler,M,860366
Winklmann,Tina,Tina Winklmann,F,860348
Wirth,Dr. Christian,Dr. Christian Wirth,M,858172
Wissing,Dr. Volker,Dr. Volker Wissing,M,861446
Wissler,Janine,Janine Wissler,F,861432
Witt,Uwe,Uwe Witt,M,858154
Wittmann,Mechthilde,Mechthilde Wittmann,F,860322
Wollmann,Dr. Herbert,Dr. Herbert Wollmann,M,861474
Wulf,Mareike Lotte,Mareike Lotte Wulf,F,860802
Wundrak,Joachim,Joachim Wundrak,M,861462
Yüksel,Gülistan,Gülistan Yüksel,F,858204
Zeulner,Emmi,Emmi Zeulner,F,858212
Ziegler,Kay-Uwe,Kay-Uwe Ziegler,M,863322
Ziemiak,Paul,Paul Ziemiak,M,858210
Zierke,Stefan,Stefan Zierke,M,858206
Zimmermann,Dr. Jens,Dr. Jens Zimmermann,M,858214
Zippelius,Nicolas,Nicolas Zippelius,M,861658
Zorn,Armand,Armand Zorn,M,861560
Zschau,Katrin,Katrin Zschau,F,860826
