Nachname,Vorname,Anrede,Geschlecht,ID
Dürr,Christian,Christian Dürr,M,857270
Durz,Hansjörg,Hansjörg Durz,M,857260
Ebner,Harald,Harald Ebner,M,857284
Echeverria,Axel,Axel Echeverria,M,860998
Eckert,Leon,Leon Eckert,M,860382
Edelhäußer,Ralph,Ralph Edelhäußer,M,861822
Ehrhorn,Thomas,Thomas Ehrhorn,M,857276
Eichwede,Sonja,Sonja Eichwede,F,860474
Emmerich,Marcel,Marcel Emmerich,M,863346
Engelhard,Alexander,Alexander Engelhard,M,861748
Engelhardt,Heike,Heike Engelhardt,F,860228
Englhardt-Kopf,Martina,Martina Englhardt-Kopf,F,860320
Erndl,Thomas,Thomas Erndl,M,857286
Ernst,Klaus,Klaus Ernst,M,857282
Esdar,Dr. Wiebke,Dr. Wiebke Esdar,F,857288
Esken,Saskia,Saskia Esken,F,857280
Espendiller,Dr. Michael,Dr. Michael Espendiller,M,857290
Faber,Dr. Marcus,Dr. Marcus Faber,M,857296
Färber,Hermann,Hermann Färber,M,857322
Fäscher,Ariane,Ariane Fäscher,F,860484
Fahimi,Yasmin,Yasmin Fahimi,F,857316
Farle,Robert,Robert Farle,M,863326
Fechner,Dr. Johannes,Dr. Johannes Fechner,M,857324
Feiler,Uwe,Uwe Feiler,M,857298
Felser,Peter,Peter Felser,M,857292
Ferlemann,Enak,Enak Ferlemann,M,857318
Ferschl,Susanne,Susanne Ferschl,F,857312
Fester,Emilia,Emilia Fester,F,860704
Fiedler,Sebastian,Sebastian Fiedler,M,861716
Föst,Daniel,Daniel Föst,M,857310
Franke,Dr. Edgar,Dr. Edgar Franke,M,857306
Frei,Thorsten,Thorsten Frei,M,857308
Fricke,Otto,Otto Fricke,M,857314
Friedhoff,Dietmar,Dietmar Friedhoff,M,857302
Friedrich,Dr. Hans-Peter,Dr. Hans-Peter Friedrich,M,857300
Frieser,Michael,Michael Frieser,M,857294
Frömming,Dr. Götz,Dr. Götz Frömming,M,857320
Frohnmaier,Markus,Markus Frohnmaier,M,857304
Funke,Fabian,Fabian Funke,M,861290
Funke-Kaiser,Maximilian,Maximilian Funke-Kaiser,M,860504
Gädechens,Ingo,Ingo Gädechens,M,857372
Gambir,Schahina,Schahina Gambir,F,860934
Ganserer,Tessa,Tessa Ganserer,F,860336
Gassner-Herz,Martin,Martin Gassner-Herz,M,860520
Gastel,Matthias,Matthias Gastel,M,857368
Gauland,Dr. Alexander,Dr. Alexander Gauland,M,857328
Gava,Manuel,Manuel Gava,M,860882
Gebhart,Dr. Thomas,Dr. Thomas Gebhart,M,863124
Gehring,Kai,Kai Gehring,M,857348
Geissler,Dr. Jonas,Dr. Jonas Geissler,M,861556
Gelbhaar,Stefan,Stefan Gelbhaar,M,857334
Gerdes,Michael,Michael Gerdes,M,857362
Gerschau,Knut,Knut Gerschau,M,860534
Gerster,Martin,Martin Gerster,M,857338
Gesenhues,Dr. Jan-Niclas,Dr. Jan-Niclas Gesenhues,M,860906
Glaser,Albrecht,Albrecht Glaser,M,857350
Glöckner,Angelika,Angelika Glöckner,F,857370
Gnauck,Hannes,Hannes Gnauck,M,860536
Göring-Eckardt,Katrin,Katrin Göring-Eckardt,F,857330
Görke,Christian,Christian Görke,M,860512
Gohlke,Nicole,Nicole Gohlke,F,857380
Gottschalk,Kay,Kay Gottschalk,M,857332
Gräßle,Dr. Ingeborg,Dr. Ingeborg Gräßle,F,860112
Gramling,Fabian,Fabian Gramling,M,861744
Grau,Prof. Dr. Armin,Prof. Dr. Armin Grau,M,861218
Gremmels,Timon,Timon Gremmels,M,857384
Griese,Kerstin,Kerstin Griese,F,857340
Gröhe,Hermann,Hermann Gröhe,M,857336
Grötsch,Uli,Uli Grötsch,M,857364
Grosse-Brömer,Michael,Michael Grosse-Brömer,M,857344
Grübel,Markus,Markus Grübel,M,857360
Grütters,Prof. Monika,Prof. Monika Grütters,F,857378
Grützmacher,Sabine,Sabine Grützmacher,F,861782
Grund,Manfred,Manfred Grund,M,857366
Grundl,Erhard,Erhard Grundl,M,857346
